id,title,description,difficulty_level,created_at,updated_at,examples,constraints,test_cases
20,Minimum Cost to Reach Last Cell,"Given a 2D array cost where cost[i][j] denotes the cost of cell (i, j), find the minimum cost to reach the last cell (m-1, n-1) from the first cell (0, 0). You can only move down or right.",Hard,2025-03-16T09:55:40.671977+00:00,2025-03-16T09:55:40.671977+00:00,"[{""input"": {""cost"": [[1, 3, 5, 8], [4, 2, 1, 7], [4, 3, 2, 3]]}, ""output"": 8}, {""input"": {""cost"": [[1, 2, 3], [4, 8, 2], [1, 5, 3]]}, ""output"": 8}]","[""1 \u2264 cost[i][j] \u2264 100"", ""1 \u2264 m, n \u2264 100""]","[{""input"": {""cost"": [[1]]}, ""expected_output"": 1}, {""input"": {""cost"": [[1, 3, 5, 8], [4, 2, 1, 7], [4, 3, 2, 3]]}, ""expected_output"": 8}, {""input"": {""cost"": [[1, 2, 3], [4, 8, 2], [1, 5, 3]]}, ""expected_output"": 8}, {""input"": {""cost"": [[5, 1], [4, 6]]}, ""expected_output"": 10}, {""input"": {""cost"": [[10, 5, 2], [1, 1, 1]]}, ""expected_output"": 8}]"
22,Search Insert Position,"Given a sorted array of distinct integers and a target value, return the index if the target is found. If not, return the index where it would be if it were inserted in order. Return -1 if the array is empty.",Medium,2025-03-16T09:56:10.755807+00:00,2025-03-16T09:56:10.755807+00:00,"[{""input"": {""nums"": [1, 3, 5, 6], ""target"": 5}, ""output"": 2}, {""input"": {""nums"": [1, 3, 5, 6], ""target"": 2}, ""output"": 1}]","[""-10^4 <= target <= 10^4"", ""nums contains distinct values sorted in ascending order"", ""-10^4 <= nums[i] <= 10^4"", ""1 <= nums.length <= 10^4""]","[{""input"": {""nums"": [1, 3, 5, 6], ""target"": 5}, ""expected_output"": 2}, {""input"": {""nums"": [1, 3, 5, 6], ""target"": 2}, ""expected_output"": 1}, {""input"": {""nums"": [1, 3, 5, 6], ""target"": 7}, ""expected_output"": 4}, {""input"": {""nums"": [1, 3, 5, 6], ""target"": 0}, ""expected_output"": 0}, {""input"": {""nums"": [1], ""target"": 0}, ""expected_output"": 0}]"
27,Minimum Window Substring with k Distinct Characters,"Given a string `s` and an integer `k`, find the length of the smallest substring of `s` that contains exactly `k` distinct characters. If no such substring exists, return -1.",Hard,2025-03-16T09:58:01.383980+00:00,2025-03-16T09:58:01.383980+00:00,"[{""input"": {""k"": 2, ""s"": ""eceba""}, ""output"": 3}, {""input"": {""k"": 1, ""s"": ""aa""}, ""output"": 2}]","[""`s` consists of lowercase English letters."", ""1 <= k <= 26"", ""1 <= s.length <= 10^5""]","[{""input"": {""k"": 2, ""s"": ""eceba""}, ""expected_output"": 3}, {""input"": {""k"": 1, ""s"": ""aa""}, ""expected_output"": 2}, {""input"": {""k"": 2, ""s"": ""abaccc""}, ""expected_output"": 4}, {""input"": {""k"": 3, ""s"": ""aabbcc""}, ""expected_output"": 6}, {""input"": {""k"": 4, ""s"": ""aabbcc""}, ""expected_output"": -1}]"
32,Find First Bad Version,"You are a product manager and currently leading a team to develop a new product. Unfortunately, the latest version of your product fails the quality check. Since each version is developed based on the previous one, all versions after a bad version are also bad.

Suppose you have n versions [1, 2, ..., n] and you want to find out the first bad one, which causes all the following ones to be bad.

You are given an API bool isBadVersion(version) which returns whether version is bad. Implement a function to find the first bad version. You should minimize the number of calls to the API.",Medium,2025-03-16T10:00:18.597123+00:00,2025-03-16T10:00:18.597123+00:00,"[{""input"": {""n"": 5, ""bad"": 4}, ""output"": 4}, {""input"": {""n"": 1, ""bad"": 1}, ""output"": 1}]","[""1 <= bad <= n"", ""1 <= n <= 2^31 - 1""]","[{""input"": {""n"": 5, ""bad"": 4}, ""expected_output"": 4}, {""input"": {""n"": 1, ""bad"": 1}, ""expected_output"": 1}, {""input"": {""n"": 10, ""bad"": 6}, ""expected_output"": 6}, {""input"": {""n"": 20, ""bad"": 15}, ""expected_output"": 15}, {""input"": {""n"": 100, ""bad"": 1}, ""expected_output"": 1}]"
37,Same Level Leaf Sum,"Given a binary tree, determine if the sum of leaf nodes at each level is the same. Return 1 if it is, and 0 otherwise.",Medium,2025-03-16T10:02:53.530048+00:00,2025-03-16T10:02:53.530048+00:00,"[{""input"": {""root"": {""val"": 1, ""left"": {""val"": 2, ""left"": null, ""right"": null}, ""right"": {""val"": 3, ""left"": null, ""right"": null}}}, ""output"": 1}, {""input"": {""root"": {""val"": 1, ""left"": {""val"": 2, ""left"": {""val"": 4, ""left"": null, ""right"": null}, ""right"": null}, ""right"": {""val"": 3, ""left"": null, ""right"": {""val"": 5, ""left"": null, ""right"": null}}}}, ""output"": 0}]","[""0 \u2264 Node.val \u2264 1000"", ""1 \u2264 Number of nodes in the tree \u2264 1000""]","[{""input"": {""root"": {""val"": 1, ""left"": {""val"": 2, ""left"": null, ""right"": null}, ""right"": {""val"": 3, ""left"": null, ""right"": null}}}, ""expected_output"": 1}, {""input"": {""root"": {""val"": 1, ""left"": {""val"": 2, ""left"": {""val"": 4, ""left"": null, ""right"": null}, ""right"": null}, ""right"": {""val"": 3, ""left"": null, ""right"": {""val"": 5, ""left"": null, ""right"": null}}}}, ""expected_output"": 0}, {""input"": {""root"": {""val"": 1, ""left"": {""val"": 2, ""left"": {""val"": 4, ""left"": null, ""right"": null}, ""right"": {""val"": 5, ""left"": null, ""right"": null}}, ""right"": {""val"": 3, ""left"": null, ""right"": {""val"": 6, ""left"": null, ""right"": null}}}}, ""expected_output"": 1}, {""input"": {""root"": {""val"": 1, ""left"": null, ""right"": null}}, ""expected_output"": 1}, {""input"": {""root"": {""val"": 1, ""left"": {""val"": 2, ""left"": null, ""right"": null}, ""right"": {""val"": 3, ""left"": {""val"": 4, ""left"": null, ""right"": null}, ""right"": null}}}, ""expected_output"": 0}]"
43,Find First Occurrence,"Given a sorted array of integers `nums` and a target integer `target`, find the index of the first occurrence of the target in the array. If the target is not found, return -1.",Medium,2025-03-16T10:05:02.966146+00:00,2025-03-16T10:05:02.966146+00:00,"[{""input"": {""nums"": [2, 5, 7, 7, 7, 8, 8, 10], ""target"": 7}, ""output"": 2}, {""input"": {""nums"": [2, 5, 7, 7, 7, 8, 8, 10], ""target"": 6}, ""output"": -1}]","[""nums is sorted in non-decreasing order."", ""-10^9 <= nums[i] <= 10^9"", ""1 <= nums.length <= 10^5""]","[{""input"": {""nums"": [2, 5, 7, 7, 7, 8, 8, 10], ""target"": 7}, ""expected_output"": 2}, {""input"": {""nums"": [2, 5, 7, 7, 7, 8, 8, 10], ""target"": 6}, ""expected_output"": -1}, {""input"": {""nums"": [1, 2, 3, 4, 5], ""target"": 1}, ""expected_output"": 0}, {""input"": {""nums"": [1, 2, 3, 4, 5], ""target"": 5}, ""expected_output"": 4}, {""input"": {""nums"": [1, 1, 1, 1, 1], ""target"": 1}, ""expected_output"": 0}]"
44,Check if a value exists in a Binary Tree (Preorder Traversal),"Given the root of a binary tree and an integer target, return 1 if the target value exists in the tree, otherwise return 0. Implement this check using a preorder traversal.",Easy,2025-03-16T10:05:36.456486+00:00,2025-03-16T10:05:36.456486+00:00,"[{""input"": {""root"": {""val"": 1, ""left"": {""val"": 2, ""left"": null, ""right"": null}, ""right"": {""val"": 3, ""left"": null, ""right"": null}}, ""target"": 2}, ""output"": 1}, {""input"": {""root"": {""val"": 1, ""left"": {""val"": 2, ""left"": null, ""right"": null}, ""right"": {""val"": 3, ""left"": null, ""right"": null}}, ""target"": 4}, ""output"": 0}]","[""-100 <= target <= 100"", ""-100 <= Node.val <= 100"", ""The number of nodes in the tree is in the range [0, 100].""]","[{""input"": {""root"": {""val"": 1, ""left"": {""val"": 2, ""left"": null, ""right"": null}, ""right"": {""val"": 3, ""left"": null, ""right"": null}}, ""target"": 2}, ""expected_output"": 1}, {""input"": {""root"": {""val"": 1, ""left"": {""val"": 2, ""left"": null, ""right"": null}, ""right"": {""val"": 3, ""left"": null, ""right"": null}}, ""target"": 4}, ""expected_output"": 0}, {""input"": {""root"": {""val"": 5, ""left"": null, ""right"": null}, ""target"": 5}, ""expected_output"": 1}, {""input"": {""root"": null, ""target"": 10}, ""expected_output"": 0}, {""input"": {""root"": {""val"": -1, ""left"": {""val"": 0, ""left"": null, ""right"": null}, ""right"": null}, ""target"": 0}, ""expected_output"": 1}]"
53,Search in Sorted Array,"Given a sorted array of integers `nums` and an integer `target`, return 1 if the target exists in the array, otherwise return 0.",Easy,2025-03-16T10:10:33.701796+00:00,2025-03-16T10:10:33.701796+00:00,"[{""input"": {""nums"": [2, 5, 7, 8, 11, 12], ""target"": 13}, ""output"": 0}, {""input"": {""nums"": [-1, 0, 3, 5, 9, 12], ""target"": 9}, ""output"": 1}]","[""nums is sorted in ascending order."", ""All the integers in nums are unique."", ""-10^4 <= nums[i], target <= 10^4"", ""1 <= nums.length <= 10^4""]","[{""input"": {""nums"": [-1, 0, 3, 5, 9, 12], ""target"": 9}, ""expected_output"": 1}, {""input"": {""nums"": [-1, 0, 3, 5, 9, 12], ""target"": 2}, ""expected_output"": 0}, {""input"": {""nums"": [5], ""target"": 5}, ""expected_output"": 1}, {""input"": {""nums"": [2, 5], ""target"": 5}, ""expected_output"": 1}, {""input"": {""nums"": [2, 5], ""target"": 2}, ""expected_output"": 1}]"
60,Longest Palindromic Subsequence with Wildcards,"Given a string `s` that may contain lowercase English letters and wildcard characters ('?'), find the length of the longest palindromic subsequence that can be formed by replacing the wildcard characters with appropriate letters. If no palindromic subsequence can be formed, return 0.",Hard,2025-03-16T10:14:04.458259+00:00,2025-03-16T10:14:04.458259+00:00,"[{""input"": {""s"": ""aba?ca""}, ""output"": 6}, {""input"": {""s"": ""???a""}, ""output"": 4}]","[""s consists of lowercase English letters and '?'"", ""1 <= s.length <= 1000""]","[{""input"": {""s"": ""aba?ca""}, ""expected_output"": 6}, {""input"": {""s"": ""???a""}, ""expected_output"": 4}, {""input"": {""s"": ""abc""}, ""expected_output"": 1}, {""input"": {""s"": ""???""}, ""expected_output"": 3}, {""input"": {""s"": ""a?b?c""}, ""expected_output"": 3}, {""input"": {""s"": ""a""}, ""expected_output"": 1}, {""input"": {""s"": ""?""}, ""expected_output"": 1}]"
61,Minimum Window Substring with Wildcards,"Given a string `s` and a pattern string `p` containing lowercase English letters and the wildcard character `*`, find the length of the smallest substring of `s` that matches the pattern `p`. The wildcard character `*` can match any sequence of zero or more characters. If no such substring exists, return -1.",Hard,2025-03-16T10:14:50.175357+00:00,2025-03-16T10:14:50.175357+00:00,"[{""input"": {""p"": ""a*c"", ""s"": ""adobecodebanc""}, ""output"": 5}, {""input"": {""p"": ""a*e"", ""s"": ""abcde""}, ""output"": 5}]","[""s and p consist of lowercase English letters and '*'."", ""1 <= s.length, p.length <= 10^5""]","[{""input"": {""p"": ""abc*"", ""s"": ""abcabcbb""}, ""expected_output"": 3}, {""input"": {""p"": ""b*c"", ""s"": ""aaaaaaaaaaaabbbbbcdddddddddddaaaaaaaaaaaaa""}, ""expected_output"": 6}, {""input"": {""p"": ""a*c"", ""s"": ""adobecodebanc""}, ""expected_output"": 5}, {""input"": {""p"": ""a*e"", ""s"": ""abcde""}, ""expected_output"": 5}, {""input"": {""p"": ""cc"", ""s"": ""abab""}, ""expected_output"": -1}]"
